id,condition,level,question_kr,question_en
1,학원 과정 수업,4,어떤 학원에서 수업을 들으셨나요?,Which academy did you attend?
2,전문 기술 향상을 위한 평생 학습,5,무슨 기술을 배우기 위해 수업을 들으셨나요?,What skill were you trying to improve?
3,전문 기술 향상을 위한 평생 학습,5,"수업 중 어려웠던 점은 무엇이었고, 어떻게 극복하셨나요?","What challenges did you face in the class, and how did you overcome them?"
4,전문 기술 향상을 위한 평생 학습,5,그 수업을 통해 달라진 점이 있다면 무엇인가요?,How did the class change you or your perspective?
5,전문 기술 향상을 위한 평생 학습,6,강의의 효과를 높이기 위해 본인이 따로 했던 학습 방법이 있다면 설명해 주세요.,Did you use any learning strategies to enhance your understanding of the class?
6,어학 수업,5,그 수업을 통해 달라진 점이 있다면 무엇인가요?,How did the class change you or your perspective?
7,어학 수업,4,최근에 들은 수업에서 가장 인상 깊었던 내용을 말해 주세요.,What was the most memorable part of a class you recently took?
8,학위 과정 수업,5,그 수업을 통해 달라진 점이 있다면 무엇인가요?,How did the class change you or your perspective?
9,어학 수업,6,그 수업 내용을 다른 사람에게 소개하거나 가르쳐본 적이 있나요? 어떤 방식으로 했나요?,Have you ever introduced or taught what you learned to others? How did you do it?
10,전문 기술 향상을 위한 평생 학습,4,강의 중 가장 흥미로웠던 주제는 무엇이었나요?,What topic did you find most interesting during the lecture?
11,학위 과정 수업,5,수업을 통해 배운 내용을 실생활에 적용한 경험이 있다면 말씀해 주세요.,Have you ever applied what you learned in class to your real life?
12,학위 과정 수업,4,그 수업을 어떤 계기로 듣게 되었나요?,What led you to take that class?
13,학위 과정 수업,5,수업의 가장 큰 장점은 무엇이라고 생각하시나요?,What do you think was the greatest benefit of the class?
14,학위 과정 수업,5,수업 중 교수님이나 강사의 스타일은 어땠나요?,How would you describe the teaching style of the instructor?
15,전문 기술 향상을 위한 평생 학습,6,수업이 본인의 커리어에 어떤 영향을 주었나요?,How did the class impact your career?
16,전문 기술 향상을 위한 평생 학습,4,수업 중 가장 기억에 남는 활동은 무엇이었나요?,What was the most memorable activity during the class?
17,전문 기술 향상을 위한 평생 학습,5,수업의 가장 큰 장점은 무엇이라고 생각하시나요?,What do you think was the greatest benefit of the class?
18,학위 과정 수업,5,수업의 가장 큰 장점은 무엇이라고 생각하시나요?,What do you think was the greatest benefit of the class?
19,전문 기술 향상을 위한 평생 학습,5,수업 중 교수님이나 강사의 스타일은 어땠나요?,How would you describe the teaching style of the instructor?
20,학위 과정 수업,4,수업 장소나 환경에 대해 이야기해 주세요.,Tell me about the class location or environment.
